,PassengerId,Survived,Pclass,Name,Female,Child_rand,Child_mean,FamilySize,Embarked_map
0,1,0,3,"Braund, Mr. Owen Harris",0,0,0,2,0
1,2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0,0,2,1
2,3,1,3,"Heikkinen, Miss. Laina",1,0,0,1,0
3,4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0,0,2,0
4,5,0,3,"Allen, Mr. William Henry",0,0,0,1,0
5,6,0,3,"Moran, Mr. James",0,0,0,1,2
6,7,0,1,"McCarthy, Mr. Timothy J",0,0,0,1,0
7,8,0,3,"Palsson, Master. Gosta Leonard",0,1,1,5,0
8,9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,0,0,3,0
9,10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,1,1,2,1
10,11,1,3,"Sandstrom, Miss. Marguerite Rut",1,1,1,3,0
11,12,1,1,"Bonnell, Miss. Elizabeth",1,0,0,1,0
12,13,0,3,"Saundercock, Mr. William Henry",0,0,0,1,0
13,14,0,3,"Andersson, Mr. Anders Johan",0,0,0,7,0
14,15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,1,1,1,0
15,16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,0,0,1,0
16,17,0,3,"Rice, Master. Eugene",0,1,1,6,2
17,18,1,2,"Williams, Mr. Charles Eugene",0,0,0,1,0
18,19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0,0,2,0
19,20,1,3,"Masselmani, Mrs. Fatima",1,0,0,1,1
20,21,0,2,"Fynney, Mr. Joseph J",0,0,0,1,0
21,22,1,2,"Beesley, Mr. Lawrence",0,0,0,1,0
22,23,1,3,"McGowan, Miss. Anna ""Annie""",1,1,1,1,2
23,24,1,1,"Sloper, Mr. William Thompson",0,0,0,1,0
24,25,0,3,"Palsson, Miss. Torborg Danira",1,1,1,5,0
25,26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,0,0,7,0
26,27,0,3,"Emir, Mr. Farred Chehab",0,0,0,1,1
27,28,0,1,"Fortune, Mr. Charles Alexander",0,0,0,6,0
28,29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",1,0,0,1,2
